time,close,high,low,open,volumefrom,volumeto,mid
1589572800,9247.26,9398.0,9149.13,9341.23,7890.76,73070842.81,9273.564999999999
1589576400,9416.95,9442.75,9209.07,9247.26,3556.95,33204441.74,9325.91
1589580000,9360.45,9481.7,9349.47,9416.95,3168.34,29846247.61,9415.585
1589583600,9311.69,9387.99,9260.1,9360.45,2593.46,24173364.88,9324.045
1589587200,9389.18,9392.76,9224.32,9311.69,3187.38,29687521.08,9308.54
1589590800,9410.42,9440.33,9361.72,9389.18,2134.44,20065491.3,9401.025
1589594400,9432.32,9452.77,9382.35,9410.42,1299.83,12248514.38,9417.560000000001
1589598000,9412.0,9445.3,9389.81,9432.32,990.78,9330822.49,9417.555
1589601600,9497.99,9498.05,9401.82,9412.0,1461.45,13824739.73,9449.935
1589605200,9459.86,9584.9,9447.16,9497.99,3920.49,37315595.68,9516.029999999999
1589608800,9469.25,9477.38,9420.53,9459.86,1040.96,9836143.95,9448.955
1589612400,9392.05,9500.4,9383.37,9469.25,1511.48,14272387.64,9441.885
1589616000,9424.08,9425.97,9357.33,9392.05,1182.21,11106198.59,9391.65
1589619600,9414.44,9430.53,9335.31,9424.08,1281.04,12022369.36,9382.92
1589623200,9449.03,9453.52,9372.14,9414.44,796.51,7498219.82,9412.83
1589626800,9408.62,9452.02,9386.59,9449.03,663.51,6251511.15,9419.305
1589630400,9472.73,9497.87,9407.68,9408.62,1736.5,16436389.13,9452.775000000001
1589634000,9454.77,9526.88,9428.93,9472.73,1806.41,17115783.7,9477.904999999999
1589637600,9428.54,9488.94,9400.26,9454.77,1524.26,14396289.95,9444.6
1589641200,9379.93,9432.76,9336.75,9428.54,2303.91,21623512.73,9384.755000000001
1589644800,9384.58,9405.29,9323.27,9379.93,1913.24,17913759.78,9364.28
1589648400,9316.95,9397.08,9298.21,9384.58,1421.91,13290519.36,9347.645
1589652000,9283.91,9339.91,9264.44,9316.95,1893.44,17603866.58,9302.175
1589655600,9331.76,9347.43,9266.84,9283.91,1007.93,9397015.85,9307.135
1589659200,9381.19,9388.35,9298.72,9331.76,1136.11,10622914.86,9343.535
1589662800,9383.27,9416.06,9353.87,9381.19,926.83,8694929.91,9384.965
1589666400,9416.92,9438.69,9362.37,9383.27,1042.39,9800943.44,9400.53
1589670000,9387.08,9433.38,9369.77,9416.92,840.76,7906998.14,9401.575
1589673600,9479.31,9507.4,9334.23,9387.08,2979.03,28163205.72,9420.814999999999
1589677200,9478.28,9520.99,9443.19,9479.31,1514.6,14376128.25,9482.09
