"","V1","V2","V3","V4","V5","V6"
"1",1,1,1,1,1,1
"2",1,1,1,1,1,1
"3",1,1,1,0.999999999999999,0.999999999999999,0.999999999999999
"4",1,1,1,1,0.999999999999997,0.999999999999997
"5",1,1,1,1,0.999999999999998,0.999999999999998
"6",1,1,1,1,1,1
"7",1,1,1,0.999999999999999,1,1
"8",1,1,1,1,1,1
"9",1,1,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999
"10",1,1,1,1,1,1
"11",1,1,0.999999999999999,0.999999999999999,1,1
"12",1,1,1,1,1,1
"13",1,0.999999999999999,1,1,0.999999999999997,0.999999999999997
"14",1,1,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999
"15",1,1,1,1,1,1
"16",1,1,1,0.999999999999995,0.999999999999995,0.999999999999995
"17",1,1,1,1,1,1
"18",1,1,1,1,1,1
"19",1,1,1,1.00000000000001,0.999999999999994,0.999999999999994
"20",1.11127040852541,1,1,1,1,1
"21",1.48603004619751,0.999999999999999,0.999999999999999,0.999999999999999,1.00000000000001,0.999999999999999
"22",1.41250793923763,0.999999999999999,0.999999999999999,1,1,1
"23",1.52729001901901,1,0.999999999999998,1,0.999999999999993,1
"24",1.52605164127035,0.999999999999999,0.999999999999999,1,1,1
"25",1.41996305278244,1,1,0.999999999999997,0.999999999999997,0.999999999999997
"26",1.39064895465627,1,1,0.999999999999995,0.999999999999995,0.999999999999995
"27",1.39249170967989,1,1,0.999999999999995,0.999999999999995,0.999999999999995
"28",1.37717355234436,1,1,0.999999999999996,1.00000000000001,0.999999999999996
"29",1.36583305899073,1,1,1,0.99999999999999,1
"30",1.33368945802521,1.13327988971998,1,0.999999999999997,1.00000000000001,0.999999999999997
"31",1.31174640975815,1.31174640975815,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999
"32",1.28760126932493,1.28760126932493,1,0.999999999999997,1.00000000000001,0.999999999999997
"33",1.32980261410611,1.32980261410611,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998
"34",1.33018129105261,1.33018129105261,1,0.999999999999998,0.999999999999998,0.999999999999998
"35",1.32623654525852,1.32623654525852,1,1,0.999999999999992,1
"36",1.12770527787275,1.12770527787275,0.999999999999999,0.999999999999999,1.00000000000001,0.999999999999999
"37",1.21728633684337,1.21728633684337,0.999999999999998,1,0.999999999999994,1
"38",1.22017696235914,1.22017696235914,0.999999999999999,0.999999999999999,1.00000000000001,0.999999999999999
"39",1.14618495949224,1.14618495949224,1,0.999999999999998,1.00000000000001,0.999999999999998
"40",1.12645634427936,1.12645634427936,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999
"41",1.22815550230914,1.22815550230914,0.999999999999999,0.999999999999999,1.00000000000001,0.999999999999999
"42",1.37246743711332,1.37246743711332,1,0.999999999999996,0.999999999999996,0.999999999999996
"43",1.30305969212563,1.30305969212563,1,1,1,1
