"","V1","V2","V3","V4","V5","V6"
"1",15.3061520166,15.3061520166,15.3061520166,15.3061520166,15.3061520166,15.3061520166
"2",15.134013444,15.134013444,15.134013444,15.134013444,15.134013444,15.134013444
"3",15.2179153051,15.2179153051,15.2179153051,15.2179153051,15.2179153051,15.2179153051
"4",14.9541484961,14.9541484961,14.9541484961,14.9541484961,14.9541484961,14.9541484961
"5",15.1843412752,15.1843412752,15.1843412752,15.1843412752,15.1843412752,15.1843412752
"6",15.2415061569,15.2415061569,15.2415061569,15.2415061569,15.2415061569,15.2415061569
"7",13.6978752581,13.6978752581,13.6978752581,13.6978752581,13.6978752581,13.6978752581
"8",13.1961338955,13.1961338955,13.1961338955,13.1961338955,13.1961338955,13.1961338955
"9",13.9573668387,13.9573668387,13.9573668387,13.9573668387,13.9573668387,13.9573668387
"10",13.8668997803,13.8668997803,13.8668997803,13.8668997803,13.8668997803,13.8668997803
"11",13.3354220472,13.3354220472,13.3354220472,13.3354220472,13.3354220472,13.3354220472
"12",11.7337780527,11.7337780527,11.7337780527,11.7337780527,11.7337780527,11.7337780527
"13",11.6738464428,11.6738464428,11.6738464428,11.6738464428,11.6738464428,11.6738464428
"14",11.6371231745,11.6371231745,11.6371231745,11.6371231745,11.6371231745,11.6371231745
"15",10.9651819644,10.9651819644,10.9651819644,10.9651819644,10.9651819644,10.9651819644
"16",10.2011349175,10.2011349175,10.2011349175,10.2011349175,10.2011349175,10.2011349175
"17",10.5292697823,10.5292697823,10.5292697823,10.5292697823,10.5292697823,10.5292697823
"18",10.9197065863,10.9197065863,10.9197065863,10.9197065863,10.9197065863,10.9197065863
"19",10.3458094898,10.3458094898,10.3458094898,10.3458094898,10.3458094898,10.3458094898
"20",10.7716529056,10.7716529056,10.7716529056,10.7716529056,10.7716529056,10.7716529056
"21",10.525338185,10.525338185,10.525338185,10.525338185,10.525338185,10.525338185
"22",10.9061454112,10.9061454112,10.9061454112,10.9061454112,10.9061454112,10.9061454112
"23",10.0975148811,10.0975148811,10.0975148811,10.0975148811,10.0975148811,10.0975148811
