"","V1","V2"
"1",0.531242928100001,NA
"2",0.8783414468,NA
"3",0.541408414999999,NA
"4",-0.255817234600002,NA
"5",0.1714786808,NA
"6",-0.029308137300001,NA
"7",-1.4354354192,NA
"8",-2.1042500117,NA
"9",-1.1756857903,NA
"10",-1.5315297492,NA
"11",-2.0227617177,NA
"12",-3.6283595197,NA
"13",-3.7805859231,NA
"14",-3.681256544,NA
"15",-4.4611955511,NA
"16",-5.1102646842,NA
"17",-4.9593163687,NA
"18",-4.3913797495,NA
"19",-5.1317523134,NA
"20",-4.6221389763,NA
"21",-5.1156306043,NA
"22",-4.4988715686,NA
"23",-5.3243188137,NA
"24",-5.291474767,NA
"25",-4.496001511,NA
"26",-4.2701748939,NA
"27",-4.2840038448,NA
"28",-4.1644024598,NA
"29",-4.0724022746,NA
"30",-3.8032006027,NA
"31",-3.6121844017,NA
"32",-3.3944772664,NA
"33",-3.7765198375,NA
"34",-3.8306145489,NA
"35",-3.859317821,NA
"36",-1.8050109503,NA
"37",-2.899744578,NA
"38",-3.0131179341,NA
"39",-2.1982149458,NA
"40",-1.9906125067,NA
"41",-3.3848390826,NA
"42",-5.0570936433,NA
"43",-4.4485851599,NA
"44",-3.324532803,NA
"45",-3.1643050671,NA
"46",-2.550080934,NA
"47",-3.2947491375,NA
"48",-0.9986062043,NA
"49",0.435469467199997,NA
"50",0.192791700699999,NA
"51",4.0149185238,NA
"52",0.9050711133,NA
"53",0.067093890999999,NA
"54",-2.2558438517,NA
"55",-1.8254096205,NA
"56",0.335283760499998,NA
"57",-0.373748668300003,NA
"58",4.2354518263,NA
"59",2.2815998672,NA
"60",4.3765154577,NA
"61",2.6457170141,NA
"62",4.5240702536,NA
"63",5.932581411,NA
"64",4.0865479877,NA
"65",1.9752878434,NA
"66",3.6840289408,NA
"67",9.9189835714,NA
"68",10.3630486099,NA
"69",11.6550996952,NA
"70",12.9741087618,NA
"71",9.5906358313,NA
"72",11.2657911517,NA
"73",12.5902519023,NA
"74",13.1397510904,NA
"75",11.1284023944,NA
"76",9.8658714178,NA
"77",10.109144666,NA
"78",9.2115794389,NA
"79",8.5420028209,NA
"80",8.7735769417,NA
"81",7.0904280945,NA
"82",6.9691441538,NA
"83",6.9389405281,NA
"84",5.5526805477,NA
"85",6.0853462885,NA
"86",6.0561395994,NA
"87",5.1211004473,NA
"88",3.9673686222,NA
"89",4.6362268431,NA
"90",3.3862152131,NA
"91",1.8489550262,NA
"92",1.2190770101,NA
"93",0.569445137600001,NA
"94",-0.5218222534,NA
"95",-1.4994989776,NA
"96",-2.9342850598,NA
"97",-3.2497279521,NA
"98",-4.6687302528,NA
"99",-4.5053401203,NA
"100",-4.8353439254,NA
"101",-5.433196905,NA
"102",-5.5171064911,NA
"103",-4.8628039824,NA
"104",-4.9170014997,NA
"105",-5.221348216,NA
"106",-5.7442517076,NA
"107",-5.9938374493,NA
"108",-5.3939795505,NA
"109",-5.1507071767,NA
"110",-4.6768637252,NA
"111",-4.9777945402,NA
"112",-5.3426397723,NA
"113",-5.6907578232,NA
"114",-5.4692652911,NA
"115",-5.7970623918,NA
"116",-5.8512615933,NA
"117",-5.1939087328,NA
"118",-4.8560561026,NA
"119",-4.1642513256,NA
"120",-4.2894881078,NA
"121",-3.7173313989,NA
"122",-1.4704805206,NA
"123",-2.4819254765,NA
"124",-1.7092588667,NA
"125",-0.679075102800001,NA
"126",3.5619268536,NA
"127",0.8250631947,NA
"128",0.2996357498,NA
"129",1.9845853152,NA
"130",4.2257617809,NA
"131",2.5381987128,NA
"132",0.512934965999998,NA
"133",1.642724105,NA
"134",2.7638364519,NA
"135",1.4826889353,NA
"136",0.408736924900001,NA
"137",2.7045393937,NA
"138",3.0392960793,NA
"139",3.4744924071,NA
"140",3.5190314953,NA
"141",5.4835195699,NA
"142",3.4461201807,NA
"143",3.9535313849,NA
"144",3.5642631546,NA
"145",4.3108145283,NA
"146",0.0115608241999965,NA
"147",4.3235107266,NA
"148",4.1146997691,NA
"149",1.2620759281,NA
"150",0.880450882600002,NA
"151",4.5646417252,NA
"152",2.0311843236,NA
"153",4.5253292041,NA
"154",1.9734312462,NA
"155",2.067423631,NA
"156",0.669314199299999,NA
"157",2.6861162101,NA
"158",4.523862178,NA
"159",5.8582710777,NA
"160",5.2676487575,NA
"161",6.1447199883,NA
"162",5.7850123791,NA
"163",7.6794961897,NA
"164",7.4220449999,NA
"165",10.3718551825,NA
"166",8.7247546086,NA
