"","V1"
"1",1
"2",1
"3",1
"4",0.983180946023852
"5",1
"6",0.998080774427914
"7",0.905147297256432
"8",0.862470770376566
"9",0.922310070603535
"10",0.900539873480869
"11",0.868294210522284
"12",0.763811546238279
"13",0.755372061969625
"14",0.759683686417947
"15",0.710807313861111
"16",0.666244444196165
"17",0.679808323345265
"18",0.713189537751336
"19",0.668439229728095
"20",0.699740063282608
"21",0.672933903697857
"22",0.707960622536204
"23",0.654754491646783
"24",0.655285819271199
"25",0.704243675946699
"26",0.719088736702192
"27",0.718137130044303
"28",0.726124894206472
"29",0.732153899349119
"30",0.749799733350744
"31",0.762342471502837
"32",0.776637942058171
"33",0.751991302613133
"34",0.751777225199637
"35",0.754013304470561
"36",0.886756513090331
"37",0.821499403824056
"38",0.819553254035023
"39",0.872459537807055
"40",0.887739684789776
"41",0.814229141277165
"42",0.728614736465643
"43",0.76742455164793
"44",0.83209878279617
"45",0.844014463137402
"46",0.87588114845604
"47",0.840502843348917
"48",0.952164622540299
"49",1
"50",1
"51",1
"52",1
"53",1
"54",0.892860635463766
"55",0.911493941156051
"56",1
"57",0.981007882563536
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",0.965186479184932
"95",0.901916371557968
"96",0.80678381657897
"97",0.787315920060229
"98",0.693122606222824
"99",0.704640169332715
"100",0.682373032130054
"101",0.643929087950642
"102",0.637112681110704
"103",0.681221016310463
"104",0.676769298914011
"105",0.661636574915039
"106",0.627003322419265
"107",0.60937418821819
"108",0.651272549862708
"109",0.664260491446264
"110",0.697950382418256
"111",0.674315210347297
"112",0.654797268272985
"113",0.62868473520815
"114",0.647301320792898
"115",0.621656498196959
"116",0.622428815027379
"117",0.661118643884608
"118",0.686004252104325
"119",0.728802087503344
"120",0.719426681679534
"121",0.755548640461249
"122",0.90332686208575
"123",0.836856221257284
"124",0.887622422566735
"125",0.955348015678871
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",1
"182",1
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",0.911319220201495
"192",0.895730166064674
"193",0.839262592157867
"194",0.783877185988602
"195",0.763102008299723
"196",0.699818297846682
"197",0.669930157330014
"198",0.69823144097707
"199",0.690677826556127
"200",0.684616682605871
"201",0.644160518076847
"202",0.622837051539196
"203",0.640840827261184
"204",0.604968161921274
"205",0.621090925668379
"206",0.604069013946954
"207",0.598769975392766
"208",0.595949798233619
"209",0.64610644104801
"210",0.613034968370863
"211",0.599191741115803
"212",0.599312385783741
"213",0.651403261363453
"214",0.652391267869352
"215",0.707454040674176
"216",0.711415515493853
"217",0.765856272641007
"218",0.740127674195756
"219",0.966297539441185
"220",0.827729023738031
"221",0.811472728807145
"222",0.861063871766563
"223",0.995023478059007
"224",0.952875684208406
"225",1
"226",1
"227",1
"228",1
"229",1
"230",1
"231",1
"232",1
"233",1
"234",1
"235",1
"236",1
"237",1
"238",1
"239",1
"240",1
"241",1
"242",1
"243",1
"244",1
"245",1
"246",1
"247",1
"248",1
"249",1
"250",1
"251",1
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",1
"264",1
"265",1
"266",1
"267",1
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",1
"275",1
"276",1
"277",1
"278",1
"279",1
"280",1
"281",1
"282",1
"283",1
"284",1
"285",1
"286",0.94754172081064
"287",0.886041615716843
"288",0.822083715241113
"289",0.748593370827625
"290",0.686176763390481
"291",0.697629758612107
"292",0.679926616979598
"293",0.674020365908403
"294",0.65010943628423
"295",0.637948253705987
"296",0.687336993215618
"297",0.658860324404262
"298",0.606652294778389
"299",0.623511518131012
"300",0.603656464773526
"301",0.600091473639452
"302",0.585154631237535
"303",0.575777763021179
"304",0.631202358226503
"305",0.641917140885602
"306",0.595511789485796
"307",0.598358697461136
"308",0.588469237740795
"309",0.617577703840109
"310",0.627017016080223
"311",0.707146118197172
"312",0.679247816204732
