"","V1","V2"
"1",0.96645641976127,NA
"2",0.945146016760804,NA
"3",0.965645199970766,NA
"4",1,NA
"5",0.988832984412988,NA
"6",1,NA
"7",1,NA
"8",1,NA
"9",1,NA
"10",1,NA
"11",1,NA
"12",1,NA
"13",1,NA
"14",1,NA
"15",1,NA
"16",1,NA
"17",1,NA
"18",1,NA
"19",1,NA
"20",1,NA
"21",1,NA
"22",1,NA
"23",1,NA
"24",1,NA
"25",1,NA
"26",1,NA
"27",1,NA
"28",1,NA
"29",1,NA
"30",1,NA
"31",1,NA
"32",1,NA
"33",1,NA
"34",1,NA
"35",1,NA
"36",1,NA
"37",1,NA
"38",1,NA
"39",1,NA
"40",1,NA
"41",1,NA
"42",1,NA
"43",1,NA
"44",1,NA
"45",1,NA
"46",1,NA
"47",1,NA
"48",1,NA
"49",0.979867298649822,NA
"50",0.991158258474879,NA
"51",0.84361628097231,NA
"52",0.959681528466043,NA
"53",0.996870721654959,NA
"54",1,NA
"55",1,NA
"56",0.983682825965974,NA
"57",1,NA
"58",0.817223407421059,NA
"59",0.889337978192738,NA
"60",0.800868730187985,NA
"61",0.865362161145889,NA
"62",0.784937081204214,NA
"63",0.730967181022377,NA
"64",0.793422023534379,NA
"65",0.887052642224377,NA
"66",0.806243654163504,NA
"67",0.60528198362734,NA
"68",0.594537842606316,NA
"69",0.566127672023236,NA
"70",0.539538138904916,NA
"71",0.613139496698435,NA
"72",0.574392363239468,NA
"73",0.54696263407557,NA
"74",0.536351639697973,NA
"75",0.577333530300241,NA
"76",0.606351776740521,NA
"77",0.60045100714291,NA
"78",0.622538810514555,NA
"79",0.640118778802321,NA
"80",0.633926398892865,NA
"81",0.681743332620581,NA
"82",0.685462347594403,NA
"83",0.686377047531161,NA
"84",0.73229659819643,NA
"85",0.713931741520247,NA
"86",0.714893908981706,NA
"87",0.747827873061439,NA
"88",0.792035251099112,NA
"89",0.767874017487023,NA
"90",0.817406565041246,NA
"91",0.892301227892635,NA
"92",0.925494863439812,NA
"93",0.961078471873245,NA
"94",1,NA
"95",1,NA
"96",1,NA
"97",1,NA
"98",1,NA
"99",1,NA
"100",1,NA
"101",1,NA
"102",1,NA
"103",1,NA
"104",1,NA
"105",1,NA
"106",1,NA
"107",1,NA
"108",1,NA
"109",1,NA
"110",1,NA
"111",1,NA
"112",1,NA
"113",1,NA
"114",1,NA
"115",1,NA
"116",1,NA
"117",1,NA
"118",1,NA
"119",1,NA
"120",1,NA
"121",1,NA
"122",1,NA
"123",1,NA
"124",1,NA
"125",1,NA
"126",0.810173857527983,NA
"127",0.948502030234833,NA
"128",0.980663965514317,NA
"129",0.884620732607967,NA
"130",0.78431699822266,NA
"131",0.8596067096326,NA
"132",0.968607881042506,NA
"133",0.907008581671856,NA
"134",0.852613843949389,NA
"135",0.916121262899492,NA
"136",0.975557352558275,NA
"137",0.85722063008489,NA
"138",0.843764027448481,NA
"139",0.824337877912648,NA
"140",0.820578766054705,NA
"141",0.747380859379223,NA
"142",0.827376543409222,NA
"143",0.805673265907862,NA
"144",0.823505067369164,NA
"145",0.799618215848905,NA
"146",0.999451150534611,NA
"147",0.82584581395138,NA
"148",0.821643688785596,NA
"149",0.939117930460582,NA
"150",0.954982662137841,NA
"151",0.797548356755463,NA
"152",0.896659875965323,NA
"153",0.789186939847626,NA
"154",0.894622458709059,NA
"155",0.890586683114627,NA
"156",0.959497829305191,NA
"157",0.852228247402667,NA
"158",0.772672339403515,NA
"159",0.723572079646197,NA
"160",0.743286285373871,NA
"161",0.711958087802948,NA
"162",0.724163135845013,NA
"163",0.664236719326436,NA
"164",0.671765246469529,NA
"165",0.594315749230946,NA
"166",0.635245009728735,NA
"167",0.55039182628767,NA
"168",0.56571540221035,NA
"169",0.517553354972605,NA
"170",0.56845009914742,NA
"171",0.608507603365364,NA
"172",0.561207749782665,NA
"173",0.502970809082279,NA
"174",0.474935752459494,NA
"175",0.587101110771202,NA
"176",0.578680753047803,NA
"177",0.617233208256018,NA
"178",0.643726965065011,NA
"179",0.659054808511623,NA
"180",0.654851819139136,NA
"181",0.670493209831016,NA
"182",0.717466318106436,NA
"183",0.748879711443371,NA
"184",0.791558942059521,NA
"185",0.859995691926689,NA
"186",0.951534344361337,NA
"187",0.944742359642185,NA
"188",0.935804060934255,NA
"189",0.96001964520172,NA
"190",0.978548226953844,NA
"191",1,NA
"192",1,NA
"193",1,NA
"194",1,NA
"195",1,NA
"196",1,NA
"197",1,NA
"198",1,NA
"199",1,NA
"200",1,NA
"201",1,NA
"202",1,NA
"203",1,NA
"204",1,NA
"205",1,NA
"206",1,NA
"207",1,NA
"208",1,NA
"209",1,NA
"210",1,NA
"211",1,NA
"212",1,NA
"213",1,NA
"214",1,NA
"215",1,NA
"216",1,NA
"217",1,NA
"218",1,NA
"219",1,NA
"220",1,NA
"221",1,NA
"222",1,NA
"223",1,NA
"224",1,NA
"225",0.863355479043221,NA
"226",0.887746267946734,NA
"227",0.875167108236662,NA
"228",0.78025553750291,NA
"229",0.617683701558541,NA
"230",0.666315379942697,NA
"231",0.826504929414957,NA
"232",0.867612424382078,NA
"233",0.884354194356582,NA
"234",0.830828996442631,NA
"235",0.7922035906231,NA
"236",0.836769397233214,NA
"237",0.745971028300279,NA
"238",0.730004408974313,NA
"239",0.758821163518951,NA
"240",0.811489505859253,NA
"241",0.845132403895038,NA
"242",0.735852540930757,NA
"243",0.847489804004201,NA
"244",0.783554820583849,NA
"245",0.762560067124299,NA
"246",0.819191291968075,NA
"247",0.838399467380619,NA
"248",0.892111241757789,NA
"249",0.812905998805551,NA
"250",0.840072689027535,NA
"251",0.872889962470748,NA
"252",0.887351808431288,NA
"253",0.815682802549749,NA
"254",0.782661645742614,NA
"255",0.810818448131915,NA
"256",0.758474181751024,NA
"257",0.709454626321002,NA
"258",0.616435347406206,NA
"259",0.640214636537994,NA
"260",0.664504017294105,NA
"261",0.595568802678625,NA
"262",0.625409718200244,NA
"263",0.603074517159944,NA
"264",0.567688590916851,NA
"265",0.581113935662319,NA
"266",0.599835069506983,NA
"267",0.569695167129965,NA
"268",0.542537988571076,NA
"269",0.523616867200502,NA
"270",0.552007259422687,NA
"271",0.613083872617242,NA
"272",0.672153681123416,NA
"273",0.666973354790976,NA
"274",0.690141570400288,NA
"275",0.738693919695387,NA
"276",0.780470105584676,NA
"277",0.812521887765156,NA
"278",0.761412561827008,NA
"279",0.815717712943388,NA
"280",0.835845005986124,NA
"281",0.865524687932544,NA
"282",0.936240153360625,NA
"283",0.925466966934196,NA
"284",0.918354956633706,NA
"285",0.906515035132824,NA
"286",1,NA
"287",1,NA
"288",1,NA
"289",1,NA
"290",1,NA
"291",1,NA
"292",1,NA
"293",1,NA
"294",1,NA
"295",1,NA
"296",1,NA
"297",1,NA
"298",1,NA
"299",1,NA
"300",1,NA
"301",1,NA
