"","V1","V2","V3","V4","V5","V6"
"1",1,1,1,1,1,1
"2",1,1,1,1,1,1
"3",1,1,1,1,1,1
"4",1,1,0.999999999999999,0.999999999999999,1,1
"5",1,1,1,1,1,1
"6",1,1,1,1,0.999999999999997,0.999999999999997
"7",1,1,0.999999999999999,1,0.999999999999997,0.999999999999997
"8",1,1,1,1,0.999999999999997,0.999999999999997
"9",1,0.999999999999999,1,1,1,1
"10",1,1,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999
"11",1,0.999999999999999,1,1,0.999999999999997,0.999999999999997
"12",1,1,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999
"13",1,1,0.999999999999999,0.999999999999999,1,1
"14",0.999999999999999,0.999999999999999,1,1,1,1
"15",1,1,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999
"16",1,1,0.999999999999999,1,1,1
"17",1,1,1,1,1,1
"18",1,1,1,0.999999999999997,0.999999999999997,0.999999999999997
"19",1,1,1,0.999999999999996,1,1
"20",0.922139637296949,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999
"21",0.672933903697857,1,1,1,0.999999999999993,1
"22",0.707960622536204,1,1,0.999999999999997,0.999999999999997,0.999999999999997
"23",0.654754491646783,0.999999999999999,1,0.999999999999997,1,0.999999999999997
"24",0.655285819271199,1,1,0.999999999999997,0.999999999999997,0.999999999999997
"25",0.704243675946699,1,0.999999999999998,1,1,1
"26",0.719088736702192,0.999999999999999,0.999999999999999,1,1,1
"27",0.718137130044303,1,1,1,1,1
"28",0.726124894206472,0.999999999999999,0.999999999999999,1,0.999999999999995,1
"29",0.732153899349119,0.999999999999999,0.999999999999999,0.999999999999999,1.00000000000001,0.999999999999999
"30",0.749799733350744,0.900066774226944,0.999999999999998,1,0.999999999999995,1
"31",0.762342471502837,0.762342471502837,1,1,1,1
"32",0.776637942058171,0.776637942058171,0.999999999999998,1,0.999999999999995,1
"33",0.751991302613133,0.751991302613133,1,1,1,1
"34",0.751777225199637,0.751777225199637,0.999999999999998,1,1,1
"35",0.754013304470561,0.754013304470561,0.999999999999999,0.999999999999999,1.00000000000001,0.999999999999999
"36",0.886756513090331,0.886756513090331,1,1,0.999999999999994,1
"37",0.821499403824056,0.821499403824056,1,0.999999999999998,1.00000000000001,0.999999999999998
"38",0.819553254035023,0.819553254035023,1,1,0.999999999999995,1
"39",0.872459537807055,0.872459537807055,0.999999999999999,1,0.999999999999995,1
"40",0.887739684789776,0.887739684789776,1,1,1,1
"41",0.814229141277165,0.814229141277165,1,1,0.999999999999995,1
"42",0.728614736465643,0.728614736465643,0.999999999999999,1,1,1
"43",0.76742455164793,0.76742455164793,1,0.999999999999997,0.999999999999997,0.999999999999997
"44",0.83209878279617,0.83209878279617,1,1,1,1
"45",0.844014463137402,0.844014463137402,0.999999999999999,1,1,1
