"","V1","V2","V3"
"1",15.3061520166,0.003508391,15.8338865537
"2",15.134013444,0.0034949013,16.0088599895
"3",15.2179153051,0.0035134116,15.7558103085
"4",15.2099657307,0.0035096571,14.950638839
"5",15.1843412752,0.0034969775,15.3523229785
"6",15.2708142942,0.0035097763,15.2379963806
"7",15.1333106773,0.0035128735,13.6943623846
"8",15.3003839072,0.0035163405,13.192617555
"9",15.133052629,0.0035262375,13.9538406012
"10",15.3984295295,0.0035300286,13.8633697517
"11",15.3581837649,0.0046869248,13.3307351224
"12",15.3621375724,0.0039561523,11.7298219004
"13",15.4544323659,0.0035366116,11.6703098312
"14",15.3183797185,0.0035315855,11.633591589
"15",15.4263775155,0.0054877812,10.9596941832
"16",15.3113996017,0.0066439915,10.194490926
"17",15.488586151,0.0048957186,10.5243740637
"18",15.3110863358,0.0049051333,10.914801453
"19",15.4775618032,0.0048965758,10.340912914
"20",15.3937918819,0.0048910936,10.766761812
"21",15.6409687893,0.0049122322,10.5204259528
"22",15.4050169798,0.0049026346,10.9012427766
"23",15.4218336948,0.0038882347,10.0936266464
"24",15.3503251761,0.0248233605,10.0340270486
"25",15.2017087898,0.2732862077,10.4324210711
"26",15.2011522919,0.320322171,10.610655227
"27",15.1988938645,0.2816252972,10.6332647225
"28",15.205480059,0.3183373395,10.7227402597
"29",15.2042619426,0.2532206768,10.8786389912
"30",15.2006256973,0.337757266,11.0596678286
"31",15.1991162432,0.2881528944,11.2987789471
"32",15.1971973113,0.3151017295,11.4876183154
"33",15.2273685451,0.1547735763,11.2960751313
"34",15.432163918,0.2377611163,11.3637882528
"35",15.6891323439,0.1283160844,11.7014984385
"36",15.9392032121,0.2741107728,13.860081489
"37",16.2450134068,0.124474995,13.2207938338
"38",16.6981006944,0.2603619759,13.4246207844
"39",17.2354318622,0.1116842092,14.9255327072
"40",17.7321122159,0.2620160384,15.4794836708
"41",18.2205061971,0.1016133008,14.7340538137
"42",18.6343708477,0.274840222,13.3024369824
"43",19.1274925682,0.1039043802,14.5750030281
"44",19.8005283009,0.2608363625,16.2151591354
"45",20.2858875941,0.0990332969,17.0225492301
"46",20.5454763904,0.2669972695,17.7283981869
"47",20.6571026511,0.1011027977,17.2612507159
"48",20.8758926412,0.2675926589,19.609693778
"49",21.194487667,0.0954856246,21.5344715096
"50",21.6119285744,0.2696181165,21.5351021586
"51",21.6585885955,0.0958856724,25.5776214469
"52",21.5429800867,0.2566440493,22.1914071507
