"","V1"
"1",704.008798287187
"2",813.870520685605
"3",586.224877060821
"4",746.656918926193
"5",864.726715152823
"6",382.240477178993
"7",470.506035510382
"8",2125.5641294004
"9",811.661615878642
"10",1087.72140938875
"11",830.350095908187
"12",691.611549615248
"13",756.992191753781
"14",1648.89845939199
"15",1168.80961696805
"16",510.240278926764
"17",650.451614975298
"18",821.530566344281
"19",2454.48695338011
"20",1157.73896708723
"21",842.142680455664
"22",499.936966138455
"23",4170.58904800527
"24",234.350177046993
"25",937.141336426273
"26",630.095347717567
"27",1378.27039713015
"28",1585.47748214815
"29",1228.8407237116
"30",577.898249878037
"31",615.433207050608
"32",855.972756523173
"33",1746.89468856909
"34",580.718739655837
"35",810.727332539226
"36",831.183913687102
"37",634.054495048386
"38",611.510603008615
"39",517.047041402856
"40",1058.96964120317
"41",680.91094250199
"42",1680.40837592378
"43",919.078748134126
"44",247.414457599825
"45",294.174872442293
"46",349.776951672131
"47",769.844487230269
"48",1614.52027479603
"49",483.850741663204
"50",945.297902536197
"51",727.098594091423
"52",289.926694627326
"53",369.84684190665
"54",1034.64428075804
"55",192.92329917474
"56",1153.61244095716
"57",333.739513548863
"58",832.374573356987
"59",839.867838568289
"60",739.792974160461
"61",594.484554551453
"62",397.026103710213
"63",833.850972395187
"64",886.679880685223
"65",732.16379322406
"66",383.625613736053
"67",1210.71773156495
"68",679.309607898453
"69",672.639904926792
"70",1078.44642211256
"71",598.657286768436
"72",841.841908002313
"73",1148.10766188032
"74",3078.60940148755
"75",1206.59656476699
"76",781.248659344672
"77",834.29589987594
"78",880.401759192395
"79",835.271573117681
"80",2098.33501990834
"81",847.891487241526
"82",534.866345941081
"83",572.431433926765
"84",823.489933543933
"85",840.293595566352
"86",1616.44175510276
"87",734.049682988026
"88",450.003965954682
