"","V1","V2","V3","V4","V5","V6"
"1",0,0,0,0,0,0
"2",0,6.99440505513849e-15,6.99440505513849e-15,6.99440505513849e-15,-4.9960036108132e-14,-4.9960036108132e-14
"3",0,-6.99440505513849e-15,-6.99440505513849e-15,2.09832151654155e-14,2.09832151654155e-14,2.09832151654155e-14
"4",0,0,-1.3988810110277e-14,-1.3988810110277e-14,4.30211422042248e-14,4.30211422042248e-14
"5",0,-6.99440505513849e-15,6.99440505513849e-15,-2.09832151654155e-14,3.59989815734707e-14,3.59989815734707e-14
"6",-1.70002900645727e-15,5.39845945723982e-15,5.39845945723982e-15,5.39845945723982e-15,-5.15004705547994e-14,-5.15004705547994e-14
"7",0,0,-9.99200722162641e-15,1.99840144432528e-14,-3.99680288865056e-14,-3.99680288865056e-14
"8",0,0,0,0,-5.01820807130571e-14,-5.01820807130571e-14
"9",0,-9.99200722162641e-15,9.99200722162641e-15,9.99200722162641e-15,9.99200722162641e-15,9.99200722162641e-15
"10",0,0,-9.99200722162641e-15,-9.99200722162641e-15,-9.99200722162641e-15,-9.99200722162641e-15
"11",0,-9.76996261670138e-15,1.02140518265514e-14,1.02140518265514e-14,-4.9737991503207e-14,-4.9737991503207e-14
"12",0,0,-1.99840144432528e-14,-1.99840144432528e-14,-1.99840144432528e-14,-1.99840144432528e-14
"13",0,1.02140518265514e-14,-1.99840144432528e-14,-1.99840144432528e-14,3.01980662698043e-14,3.01980662698043e-14
"14",-1.02140518265514e-14,-1.02140518265514e-14,9.76996261670138e-15,9.76996261670138e-15,9.76996261670138e-15,9.76996261670138e-15
"15",0,0,-1.06581410364015e-14,-1.06581410364015e-14,-1.06581410364015e-14,-1.06581410364015e-14
"16",0,0,-9.76996261670138e-15,5.06261699229071e-14,5.06261699229071e-14,5.06261699229071e-14
"17",0,0,0,0,0,0
"18",0,0,0,-5.06261699229071e-14,-5.06261699229071e-14,-5.06261699229071e-14
"19",0,0,0,-5.95079541199084e-14,6.03961325396085e-14,6.03961325396085e-14
"20",-1.19856621930001,-9.76996261670138e-15,-9.76996261670138e-15,-9.76996261670138e-15,-9.76996261670138e-15,-9.76996261670138e-15
"21",-5.1156306043,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,-1.10134124042816e-13,1.06581410364015e-14
"22",-4.4988715686,9.76996261670138e-15,9.76996261670138e-15,-5.06261699229071e-14,-5.06261699229071e-14,-5.06261699229071e-14
"23",-5.3243188137,-9.76996261670138e-15,2.04281036531029e-14,-3.99680288865056e-14,7.01660951563099e-14,-3.99680288865056e-14
"24",-5.291474767,9.76996261670138e-15,9.76996261670138e-15,-5.06261699229071e-14,-5.06261699229071e-14,-5.06261699229071e-14
"25",-4.496001511,0,-3.01980662698043e-14,3.01980662698043e-14,3.01980662698043e-14,3.01980662698043e-14
"26",-4.2701748939,-9.76996261670138e-15,-9.76996261670138e-15,4.9737991503207e-14,4.9737991503207e-14,4.9737991503207e-14
"27",-4.2840038448,0,0,4.9737991503207e-14,4.9737991503207e-14,4.9737991503207e-14
"28",-4.1644024598,-9.76996261670138e-15,-9.76996261670138e-15,3.99680288865056e-14,-7.01660951563099e-14,3.99680288865056e-14
"29",-4.0724022746,-9.76996261670138e-15,-9.76996261670138e-15,-9.76996261670138e-15,1.10134124042816e-13,-9.76996261670138e-15
"30",-3.8032006027,-1.5190475597,-3.01980662698043e-14,2.97539770599542e-14,-7.99360577730113e-14,2.97539770599542e-14
"31",-3.6121844017,-3.6121844017,1.02140518265514e-14,1.02140518265514e-14,1.02140518265514e-14,1.02140518265514e-14
"32",-3.3944772664,-3.3944772664,-3.01980662698043e-14,2.97539770599542e-14,-7.99360577730113e-14,2.97539770599542e-14
"33",-3.7765198375,-3.7765198375,1.99840144432528e-14,1.99840144432528e-14,1.99840144432528e-14,1.99840144432528e-14
"34",-3.8306145489,-3.8306145489,-2.97539770599542e-14,3.01980662698043e-14,3.01980662698043e-14,3.01980662698043e-14
"35",-3.859317821,-3.859317821,-9.76996261670138e-15,-9.76996261670138e-15,9.99200722162641e-14,-9.76996261670138e-15
"36",-1.8050109503,-1.8050109503,1.99840144432528e-14,1.99840144432528e-14,-9.99200722162641e-14,1.99840144432528e-14
"37",-2.899744578,-2.899744578,1.99840144432528e-14,-2.97539770599542e-14,7.99360577730113e-14,-2.97539770599542e-14
"38",-3.0131179341,-3.0131179341,1.99840144432528e-14,1.99840144432528e-14,-8.97060203897126e-14,1.99840144432528e-14
"39",-2.1982149458,-2.1982149458,-2.04281036531029e-14,2.97539770599542e-14,-8.03801469828613e-14,2.97539770599542e-14
"40",-1.9906125067,-1.9906125067,1.99840144432528e-14,1.99840144432528e-14,1.99840144432528e-14,1.99840144432528e-14
"41",-3.3848390826,-3.3848390826,1.99840144432528e-14,1.99840144432528e-14,-9.01501095995627e-14,1.99840144432528e-14
"42",-5.0570936433,-5.0570936433,-9.76996261670138e-15,4.9737991503207e-14,4.9737991503207e-14,4.9737991503207e-14
"43",-4.4485851599,-4.4485851599,9.76996261670138e-15,-5.06261699229071e-14,-5.06261699229071e-14,-5.06261699229071e-14
"44",-3.324532803,-3.324532803,1.02140518265514e-14,1.02140518265514e-14,1.02140518265514e-14,1.02140518265514e-14
"45",-3.1643050671,-3.1643050671,-2.97539770599542e-14,3.01980662698043e-14,3.01980662698043e-14,3.01980662698043e-14
"46",-2.550080934,-2.550080934,-9.76996261670138e-15,-9.76996261670138e-15,1.10134124042816e-13,-9.76996261670138e-15
