"","V1","V2"
"1",0.531242928100001,0.531242928100001
"2",0.8783414468,1.4095843749
"3",0.541408414999999,1.9509927899
"4",-0.255817234600002,1.6951755553
"5",0.1714786808,1.8666542361
"6",-0.029308137300001,1.8373460988
"7",-1.4354354192,0.401910679599997
"8",-2.1042500117,-1.7023393321
"9",-1.1756857903,-2.87802512240001
"10",-1.5315297492,-4.40955487160001
"11",-2.0227617177,-6.43231658930001
"12",-3.6283595197,-10.060676109
"13",-3.7805859231,-13.8412620321
"14",-3.681256544,-17.5225185761
"15",-4.4611955511,-21.9837141272
"16",-5.1102646842,-27.0939788114
"17",-4.9593163687,-32.0532951801
"18",-4.3913797495,-36.4446749296
"19",-5.1317523134,-41.576427243
"20",-4.6221389763,-46.1985662193
"21",-5.1156306043,-51.3141968236
"22",-4.4988715686,-55.8130683922
"23",-5.3243188137,-61.1373872059
"24",-5.291474767,-66.4288619729
"25",-4.496001511,-70.9248634839
"26",-4.2701748939,-75.1950383778
"27",-4.2840038448,-79.4790422226
"28",-4.1644024598,-83.6434446824
"29",-4.0724022746,-87.715846957
"30",-3.8032006027,-91.5190475597
"31",-3.6121844017,-95.1312319614
"32",-3.3944772664,-98.5257092278
"33",-3.7765198375,-102.3022290653
"34",-3.8306145489,-106.1328436142
"35",-3.859317821,-109.9921614352
"36",-1.8050109503,-111.7971723855
"37",-2.899744578,-114.6969169635
"38",-3.0131179341,-117.7100348976
"39",-2.1982149458,-119.9082498434
"40",-1.9906125067,-121.8988623501
"41",-3.3848390826,-125.2837014327
"42",-5.0570936433,-130.340795076
"43",-4.4485851599,-134.7893802359
"44",-3.324532803,-138.1139130389
"45",-3.1643050671,-141.278218106
"46",-2.550080934,-143.82829904
"47",-3.2947491375,-147.1230481775
"48",-0.9986062043,-148.1216543818
"49",0.435469467199997,-147.6861849146
"50",0.192791700699999,-147.4933932139
"51",4.0149185238,-143.4784746901
"52",0.9050711133,-142.5734035768
"53",0.067093890999999,-142.5063096858
"54",-2.2558438517,-144.7621535375
"55",-1.8254096205,-146.587563158
"56",0.335283760499998,-146.2522793975
"57",-0.373748668300003,-146.6260280658
"58",4.2354518263,-142.3905762395
"59",2.2815998672,-140.1089763723
"60",4.3765154577,-135.7324609146
"61",2.6457170141,-133.0867439005
"62",4.5240702536,-128.5626736469
"63",5.932581411,-122.6300922359
"64",4.0865479877,-118.5435442482
"65",1.9752878434,-116.5682564048
"66",3.6840289408,-112.884227464
"67",9.9189835714,-102.9652438926
"68",10.3630486099,-92.6021952827
"69",11.6550996952,-80.9470955875
"70",12.9741087618,-67.9729868257
"71",9.5906358313,-58.3823509944
"72",11.2657911517,-47.1165598427
"73",12.5902519023,-34.5263079404
"74",13.1397510904,-21.38655685
"75",11.1284023944,-10.2581544556
"76",9.8658714178,-0.392283037800031
"77",10.109144666,9.71686162819997
"78",9.2115794389,18.9284410671
"79",8.5420028209,27.470443888
"80",8.7735769417,36.2440208297
"81",7.0904280945,43.3344489242
"82",6.9691441538,50.303593078
"83",6.9389405281,57.2425336061
"84",5.5526805477,62.7952141538
"85",6.0853462885,68.8805604423
"86",6.0561395994,74.9367000417
"87",5.1211004473,80.057800489
"88",3.9673686222,84.0251691112
"89",4.6362268431,88.6613959543
"90",3.3862152131,92.0476111674
"91",1.8489550262,93.8965661936
"92",1.2190770101,95.1156432037
"93",0.569445137600001,95.6850883413
"94",-0.5218222534,95.1632660879
"95",-1.4994989776,93.6637671103
"96",-2.9342850598,90.7294820505
"97",-3.2497279521,87.4797540984
"98",-4.6687302528,82.8110238455999
"99",-4.5053401203,78.3056837252999
"100",-4.8353439254,73.4703397998999
"101",-5.433196905,68.0371428948999
"102",-5.5171064911,62.5200364037999
"103",-4.8628039824,57.6572324213999
"104",-4.9170014997,52.7402309216999
"105",-5.221348216,47.5188827056999
"106",-5.7442517076,41.7746309980999
"107",-5.9938374493,35.7807935487999
"108",-5.3939795505,30.3868139982999
"109",-5.1507071767,25.2361068215999
"110",-4.6768637252,20.5592430963999
"111",-4.9777945402,15.5814485561999
"112",-5.3426397723,10.2388087838999
"113",-5.6907578232,4.54805096069993
"114",-5.4692652911,-0.921214330400071
"115",-5.7970623918,-6.71827672220007
"116",-5.8512615933,-12.5695383155001
"117",-5.1939087328,-17.7634470483001
"118",-4.8560561026,-22.6195031509001
"119",-4.1642513256,-26.7837544765001
"120",-4.2894881078,-31.0732425843001
"121",-3.7173313989,-34.7905739832001
"122",-1.4704805206,-36.2610545038001
"123",-2.4819254765,-38.7429799803001
"124",-1.7092588667,-40.4522388470001
"125",-0.679075102800001,-41.1313139498001
"126",3.5619268536,-37.5693870962001
"127",0.8250631947,-36.7443239015001
"128",0.2996357498,-36.4446881517001
"129",1.9845853152,-34.4601028365001
"130",4.2257617809,-30.2343410556001
"131",2.5381987128,-27.6961423428001
"132",0.512934965999998,-27.1832073768001
"133",1.642724105,-25.5404832718001
"134",2.7638364519,-22.7766468199001
"135",1.4826889353,-21.2939578846001
"136",0.408736924900001,-20.8852209597001
"137",2.7045393937,-18.1806815660001
"138",3.0392960793,-15.1413854867001
"139",3.4744924071,-11.6668930796001
"140",3.5190314953,-8.14786158430008
"141",5.4835195699,-2.66434201440008
"142",3.4461201807,0.781778166299922
"143",3.9535313849,4.73530955119993
"144",3.5642631546,8.29957270579992
"145",4.3108145283,12.6103872340999
"146",0.0115608241999965,12.6219480582999
"147",4.3235107266,16.9454587848999
"148",4.1146997691,21.0601585539999
"149",1.2620759281,22.3222344820999
"150",0.880450882600002,23.2026853646999
"151",4.5646417252,27.7673270898999
"152",2.0311843236,29.7985114134999
"153",4.5253292041,34.3238406175999
"154",1.9734312462,36.2972718637999
"155",2.067423631,38.3646954947999
"156",0.669314199299999,39.0340096940999
"157",2.6861162101,41.7201259041999
"158",4.523862178,46.2439880821999
"159",5.8582710777,52.1022591598999
"160",5.2676487575,57.3699079173999
"161",6.1447199883,63.5146279056999
"162",5.7850123791,69.2996402847999
"163",7.6794961897,76.9791364744999
"164",7.4220449999,84.4011814743999
"165",10.3718551825,94.7730366568999
"166",8.7247546086,103.4977912655
"167",12.4118344848,115.9096257503
"168",11.6655481032,127.5751738535
"169",14.1682844677,141.7434583212
"170",11.5393095939,153.2827679151
"171",9.7767629285,163.0595308436
"172",11.8787931975,174.9383240411
"173",15.0139334702,189.9522575113
"174",16.8019616416,206.7542191529
"175",10.6875006006,217.4417197535
"176",11.0643887589,228.5061085124
"177",9.4232317199,237.9293402323
"178",8.4118393872,246.3411796195
"179",7.8621080117,254.2032876312
"180",8.0103173114,262.2136049426
"181",7.4698327245,269.6834376671
"182",5.9863917914,275.6698294585
"183",5.0960302918,280.7658597503
"184",3.9806614512,284.7465212015
"185",2.4677065691,287.2142277706
"186",0.772657536699999,287.9868853073
"187",0.8863462626,288.8732315699
"188",1.0394566305,289.9126882004
"189",0.5804572209,290.4931454213
"190",0.323022528399999,290.8161679497
"191",-1.3435060398,289.4726619099
"192",-1.5832259415,287.8894359684
"193",-2.4776409017,285.4117950667
"194",-3.2759666845,282.1358283822
"195",-3.6069065544,278.5289218278
"196",-4.570106126,273.9588157018
"197",-5.0030947495,268.9557209523
"198",-4.5937837295,264.3619372228
"199",-4.7111011946,259.6508360282
"200",-4.7767545899,254.8740814383
"201",-5.4370793142,249.4370021241
"202",-5.7219502796,243.7150518445
"203",-5.4877384193,238.2273134252
"204",-6.1971955825,232.0301178427
"205",-5.8481853867,226.181932456
"206",-6.0642815505,220.1176509055
"207",-6.1959939187,213.9216569868
"208",-6.1762435729,207.7454134139
"209",-5.4231771045,202.3222363094
"210",-5.982548688,196.3396876214
"211",-6.1380613767,190.2016262447
"212",-6.1782891022,184.0233371425
"213",-5.3579362919,178.6654008506
"214",-5.3226030298,173.3427978208
"215",-4.5259843048,168.816813516
"216",-4.415015755,164.401797761
"217",-3.5602271465,160.8415706145
"218",-3.9517354879,156.8898351266
"219",-0.512330858399999,156.3775042682
"220",-2.6190271673,153.7584771009
"221",-2.8668980571,150.8915790438
"222",-2.1125781326,148.7790009112
"223",-0.0756635540000001,148.7033373572
"224",-0.7163605125,147.9869768447
"225",2.4060120129,150.3929888576
"226",1.9221847054,152.315173563
"227",2.1682913347,154.4834648977
"228",4.279091126,158.7625560237
"229",9.4087477037,168.1713037274
"230",7.6168159427,175.7881196701
"231",3.2020860189,178.990205689
"232",2.3340222846,181.3242279736
"233",2.0049347792,183.3291627528
"234",3.1395707762,186.468733529
