"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0.2650130401,-0.00111018,-0.002396711,-1.5e-06,1.3446892292,12.3603140273,1.33613572
"2",0,0.0946710333,-0.0011064088,-0.0023876925,-8e-07,1.3439231704,12.361019321,1.3343999193
"3",0,0.178526663,-0.0011073075,-0.0024052041,-9e-07,1.3424215388,12.3616370517,1.3353300516
"4",0,0.1690182764,-0.00110265,-0.0024061071,-9e-07,1.344125152,12.3613425081,1.3354797942
"5",0,0.1302815113,-0.0011018662,-0.0023934113,-1.7e-06,1.3430636462,12.3741349719,1.3368611458
"6",0,0.2324342639,-0.0011032075,-0.0024054688,-1.1e-06,1.3412484248,12.3612747272,1.3358568783
"7",0,0.0946976123,-0.0011021481,-0.0024090254,-1.7e-06,1.3402748346,12.3617522507,1.3365859797
"8",0,0.2673643867,-0.0011023369,-0.0024134036,-6e-07,1.3361741809,12.3610331116,1.335812228
"9",0,0.0981570411,-0.0011155691,-0.0024084684,-2.2e-06,1.3393179948,12.361309883,1.3342677101
"10",0.1443203552,0.2180226822,-0.0011146772,-0.0024153514,0,1.3385762219,12.3624886018,1.3350216684
"11",0.1770335487,0.1380219475,-0.0022630977,-0.0024218271,-2e-06,1.336417128,12.3616642055,1.3450469352
"12",0.1743243923,0.1368150312,-0.0015302336,-0.0024242187,-1.7e-06,1.3373003072,12.3616033351,1.3520945066
"13",0.1733488052,0.2340124053,-0.0011072072,-0.0024288044,-6e-07,1.3337109341,12.3616405769,1.3517196444
"14",0.1728216893,0.0969371812,-0.0011108072,-0.0024196783,-1.1e-06,1.3379730403,12.3613904911,1.3492573166
"15",0.1725594683,0.2574532438,-0.0022991703,-0.0024323265,-2.3e-06,1.3356936156,12.3614078756,1.2985093278
"16",0.1725008143,0.1055263515,-0.0024462667,-0.0024238092,-1.8e-06,1.3393568304,12.3615792467,1.3306642432
"17",0.1724487629,0.2714168851,-0.0024629413,-0.0024319773,-8e-07,1.3348092224,12.3626440408,1.3472672398
"18",0.1722425427,0.0947282457,-0.0024682616,-0.0024351717,-1.7e-06,1.3359838257,12.3608617513,1.3472699704
"19",0.1719556706,0.2562459112,-0.0024627162,-0.0024318596,-2e-06,1.3399951431,12.3622792252,1.3470858531
"20",0.172184381,0.175948166,-0.0024573634,-0.0024317302,-2e-06,1.3379247256,12.3612216106,1.3465129987
"21",0.1719502302,0.4254023326,-0.002462989,-0.0024461432,-3.1e-06,1.3347399613,12.3618412657,1.3470349995
"22",0.1723412294,0.1892768238,-0.0024602643,-0.0024414703,-9e-07,1.334714965,12.3616126483,1.3470713133
"23",0.1704117682,0.20861735,-0.0014545424,-0.0024314923,-2.2e-06,1.3329438595,12.3622010769,1.3476596402
"24",0.1604006466,0.1286908483,-0.0023066676,-0.0024322017,-9e-07,1.3323991479,12.3614132679,1.3473376742
"25",0.1624854331,-0.2684014531,-0.0024487935,-0.0024351611,-8e-07,1.3315016026,12.3612843416,1.3464374125
"26",0.1601874633,-0.3154267824,-0.002470043,-0.0024227456,-2.6e-06,1.3327931809,12.3624488498,1.3457227979
"27",0.1590647994,-0.2767418195,-0.0024646419,-0.0024165358,-2.3e-06,1.3346916259,12.3613809437,1.3437564955
"28",0.158259424,-0.3134487298,-0.0024699377,-0.002416972,-1.7e-06,1.3389170689,12.3617441965,1.3465593696
