"","V1","V2"
"1",15.3061520166,NA
"2",15.134013444,NA
"3",15.2179153051,NA
"4",14.9541484961,NA
"5",15.1843412752,NA
"6",15.2415061569,NA
"7",13.6978752581,NA
"8",13.1961338955,NA
"9",13.9573668387,NA
"10",13.8668997803,NA
"11",13.3354220472,NA
"12",11.7337780527,NA
"13",11.6738464428,NA
"14",11.6371231745,NA
"15",10.9651819644,NA
"16",10.2011349175,NA
"17",10.5292697823,NA
"18",10.9197065863,NA
"19",10.3458094898,NA
"20",10.7716529056,NA
"21",10.525338185,NA
"22",10.9061454112,NA
"23",10.0975148811,NA
"24",10.0588504091,NA
"25",10.7057072788,NA
"26",10.930977398,NA
"27",10.9148900197,NA
"28",11.0410775992,NA
"29",11.131859668,NA
"30",11.3974250946,NA
"31",11.5869318415,NA
"32",11.8027200449,NA
"33",11.4508487076,NA
"34",11.6015493691,NA
"35",11.8298145229,NA
"36",14.1341922618,NA
"37",13.3452688288,NA
"38",13.6849827603,NA
"39",15.0372169164,NA
"40",15.7414997092,NA
"41",14.8356671145,NA
"42",13.5772772044,NA
"43",14.6789074083,NA
"44",16.4759954979,NA
"45",17.121582527,NA
"46",17.9953954564,NA
"47",17.3623535136,NA
"48",19.8772864369,NA
"49",21.194487667,NA
"50",21.6119285744,NA
"51",21.6585885955,NA
"52",21.5429800867,NA
"53",21.3735974129,NA
"54",18.7993851154,NA
"55",18.7992757891,NA
"56",20.2126223782,NA
"57",19.3053981962,NA
"58",18.9373831989,NA
"59",18.3361317623,NA
"60",17.6015267746,NA
"61",17.0049030242,NA
"62",16.5119608713,NA
"63",16.1189342128,NA
"64",15.6955607231,NA
"65",15.5132827819,NA
"66",15.3296912287,NA
"67",15.2103066053,NA
"68",15.1955600566,NA
"69",15.2078711459,NA
"70",15.2021852117,NA
"71",15.2003049586,NA
"72",15.2041078319,NA
"73",15.2005063205,NA
"74",15.2001552167,NA
"75",15.2006376222,NA
"76",15.1967881723,NA
"77",15.1922447674,NA
"78",15.1924644615,NA
"79",15.1936141487,NA
"80",15.1931251509,NA
"81",15.1885335778,NA
"82",15.1876440733,NA
"83",15.1861637523,NA
"84",15.1892319954,NA
"85",15.1870112979,NA
"86",15.1855658225,NA
"87",15.1868555091,NA
"88",15.109752107,NA
"89",15.3366637093,NA
"90",15.1588941106,NA
"91",15.3188825454,NA
"92",15.143244655,NA
"93",14.0611504481,NA
"94",14.4672463953,NA
"95",13.7884649917,NA
"96",12.2522537065,NA
"97",12.0298733844,NA
"98",10.5449360109,NA
"99",10.7483933008,NA
"100",10.3879979647,NA
"101",9.8255527461,NA
"102",9.6862533507,NA
"103",10.3916645717,NA
"104",10.2950482319,NA
"105",10.2098356204,NA
"106",9.6560240934,NA
"107",9.3503545332,NA
"108",10.0736286013,NA
"109",10.1906722126,NA
"110",10.8068960711,NA
"111",10.3062920931,NA
"112",10.1341779967,NA
"113",9.6351885162,NA
"114",10.0376407835,NA
"115",9.5251576653,NA
"116",9.645846836,NA
"117",10.1327200093,NA
"118",10.6093001487,NA
"119",11.1907758841,NA
"120",10.9988084896,NA
"121",11.4895032283,NA
"122",13.7403686597,NA
"123",12.7311920302,NA
"124",13.5007047732,NA
"125",14.5290979073,NA
"126",15.2022265302,NA
"127",15.1962129539,NA
"128",15.1966000488,NA
"129",15.2159513155,NA
"130",15.3667037638,NA
"131",15.5410036918,NA
"132",15.8266745613,NA
"133",16.0226060355,NA
"134",15.9885112988,NA
"135",16.1938878296,NA
"136",16.3135484116,NA
"137",16.2375486356,NA
"138",16.413945256,NA
"139",16.3049134535,NA
"140",16.0942072386,NA
"141",16.2231474563,NA
"142",16.5171006281,NA
"143",16.3912317964,NA
"144",16.6304421634,NA
"145",17.2021914895,NA
"146",21.052182386,NA
"147",20.5022532972,NA
"148",18.9554105123,NA
"149",19.4677701111,NA
"150",18.6775888508,NA
"151",17.9821830476,NA
"152",17.624146484,NA
"153",16.9407469528,NA
"154",16.7538157746,NA
"155",16.8281156859,NA
"156",15.8560766086,NA
"157",15.4913511535,NA
"158",15.376321399,NA
"159",15.3344907468,NA
"160",15.2518967805,NA
"161",15.1880087852,NA
"162",15.1875737066,NA
"163",15.1922608836,NA
"164",15.1899572944,NA
"165",15.1944692751,NA
"166",15.1947388632,NA
"167",15.1940570681,NA
"168",15.1959804027,NA
"169",15.1992831457,NA
"170",15.1999147023,NA
"171",15.1962966061,NA
"172",15.1927724275,NA
"173",15.1934139946,NA
"174",15.1978588,NA
"175",15.1965617677,NA
"176",15.1969055896,NA
"177",15.1954967674,NA
"178",15.1988146965,NA
"179",15.1976335772,NA
"180",15.1980255268,NA
"181",15.1999056462,NA
"182",15.2018493814,NA
"183",15.1971539869,NA
"184",15.1166387186,NA
"185",15.1582265401,NA
"186",15.169714985,NA
"187",15.1539018707,NA
"188",15.1524808289,NA
"189",13.9381038031,NA
"190",14.7350581116,NA
"191",13.8064062958,NA
"192",13.6007048441,NA
"193",12.9365737168,NA
"194",11.8819272171,NA
"195",11.6186617525,NA
"196",10.6543598998,NA
"197",10.1545903908,NA
"198",10.6290868849,NA
"199",10.5193012759,NA
"200",10.3691149804,NA
"201",9.8425048534,NA
"202",9.4490793853,NA
"203",9.7916664681,NA
"204",9.4906426754,NA
"205",9.5860857429,NA
"206",9.2522300743,NA
"207",9.2465042462,NA
"208",9.1095885982,NA
"209",9.9011399601,NA
"210",9.4776303954,NA
"211",9.1761474517,NA
"212",9.240927472,NA
"213",10.0120763848,NA
"214",9.9894491076,NA
"215",10.945035412,NA
"216",10.8838516202,NA
"217",11.6450793832,NA
"218",11.254714355,NA
"219",14.6892553138,NA
"220",12.58392358,NA
"221",12.339910162,NA
"222",13.0928127147,NA
"223",15.1284398132,NA
"224",14.4851442832,NA
"225",15.2018071375,NA
"226",15.2013858899,NA
"227",15.2012601038,NA
"228",15.1939416748,NA
"229",15.201104772,NA
"230",15.20957606,NA
"231",15.2542655541,NA
"232",15.2961992351,NA
"233",15.3319220834,NA
"234",15.4189925129,NA
"235",15.3799014281,NA
"236",15.5184527391,NA
"237",15.5505035339,NA
"238",15.4674839655,NA
"239",15.4863643709,NA
"240",15.5431808428,NA
"241",15.5711088375,NA
"242",15.4233506738,NA
"243",15.6723710821,NA
"244",15.471378358,NA
"245",15.568135235,NA
"246",15.5264688451,NA
"247",15.628978532,NA
"248",15.5867509393,NA
"249",15.4154610062,NA
"250",15.4539047646,NA
"251",15.4548923365,NA
"252",15.3886379712,NA
"253",15.316829931,NA
"254",15.2865754689,NA
"255",15.2001392156,NA
"256",15.1808830189,NA
"257",15.1791263888,NA
"258",15.174741784,NA
"259",15.1827275021,NA
"260",15.1848220571,NA
"261",15.1853898814,NA
"262",15.1849207462,NA
"263",15.1882414323,NA
"264",15.1870503726,NA
"265",15.1822102142,NA
"266",15.1813270698,NA
"267",15.1859709771,NA
"268",15.1826116029,NA
"269",15.1844542893,NA
