"","V1"
"1",0.96645641976127
"2",0.945146016760804
"3",0.965645199970766
"4",1
"5",0.988832984412988
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",0.979867298649822
"50",0.991158258474879
"51",0.84361628097231
"52",0.959681528466043
"53",0.996870721654959
"54",1
"55",1
"56",0.983682825965974
"57",1
"58",0.817223407421059
"59",0.889337978192738
"60",0.800868730187985
"61",0.865362161145889
"62",0.784937081204214
"63",0.730967181022377
"64",0.793422023534379
"65",0.887052642224377
"66",0.806243654163504
"67",0.60528198362734
"68",0.594537842606316
"69",0.566127672023236
"70",0.539538138904916
"71",0.613139496698435
"72",0.574392363239468
"73",0.54696263407557
"74",0.536351639697973
"75",0.577333530300241
"76",0.606351776740521
"77",0.60045100714291
"78",0.622538810514555
"79",0.640118778802321
"80",0.633926398892865
"81",0.681743332620581
"82",0.685462347594403
"83",0.686377047531161
"84",0.73229659819643
"85",0.713931741520247
"86",0.714893908981706
"87",0.747827873061439
"88",0.792035251099112
"89",0.767874017487023
"90",0.817406565041246
"91",0.892301227892635
"92",0.925494863439812
"93",0.961078471873245
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",0.810173857527983
"127",0.948502030234833
"128",0.980663965514317
"129",0.884620732607967
"130",0.78431699822266
"131",0.8596067096326
"132",0.968607881042506
"133",0.907008581671856
"134",0.852613843949389
"135",0.916121262899492
"136",0.975557352558275
"137",0.85722063008489
"138",0.843764027448481
"139",0.824337877912648
"140",0.820578766054705
"141",0.747380859379223
"142",0.827376543409222
"143",0.805673265907862
"144",0.823505067369164
"145",0.799618215848905
"146",0.999451150534611
"147",0.82584581395138
"148",0.821643688785596
"149",0.939117930460582
"150",0.954982662137841
"151",0.797548356755463
"152",0.896659875965323
"153",0.789186939847626
"154",0.894622458709059
"155",0.890586683114627
"156",0.959497829305191
"157",0.852228247402667
"158",0.772672339403515
"159",0.723572079646197
"160",0.743286285373871
"161",0.711958087802948
"162",0.724163135845013
"163",0.664236719326436
"164",0.671765246469529
"165",0.594315749230946
"166",0.635245009728735
"167",0.55039182628767
"168",0.56571540221035
"169",0.517553354972605
"170",0.56845009914742
"171",0.608507603365364
"172",0.561207749782665
"173",0.502970809082279
"174",0.474935752459494
"175",0.587101110771202
"176",0.578680753047803
"177",0.617233208256018
"178",0.643726965065011
"179",0.659054808511623
"180",0.654851819139136
"181",0.670493209831016
"182",0.717466318106436
"183",0.748879711443371
"184",0.791558942059521
"185",0.859995691926689
"186",0.951534344361337
"187",0.944742359642185
"188",0.935804060934255
"189",0.96001964520172
"190",0.978548226953844
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",1
"198",1
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",1
"212",1
