"","V1"
"1",15.8373949447
"2",16.0123548908
"3",15.7593237201
"4",14.9541484961
"5",15.355819956
"6",15.2415061569
"7",13.6978752581
"8",13.1961338955
"9",13.9573668387
"10",13.8668997803
"11",13.3354220472
"12",11.7337780527
"13",11.6738464428
"14",11.6371231745
"15",10.9651819644
"16",10.2011349175
"17",10.5292697823
"18",10.9197065863
"19",10.3458094898
"20",10.7716529056
"21",10.525338185
"22",10.9061454112
"23",10.0975148811
"24",10.0588504091
"25",10.7057072788
"26",10.930977398
"27",10.9148900197
"28",11.0410775992
"29",11.131859668
"30",11.3974250946
"31",11.5869318415
"32",11.8027200449
"33",11.4508487076
"34",11.6015493691
"35",11.8298145229
"36",14.1341922618
"37",13.3452688288
"38",13.6849827603
"39",15.0372169164
"40",15.7414997092
"41",14.8356671145
"42",13.5772772044
"43",14.6789074083
"44",16.4759954979
"45",17.121582527
"46",17.9953954564
"47",17.3623535136
"48",19.8772864369
"49",21.6299571342
"50",21.8047202751
"51",25.6735071193
"52",22.4480512
"53",21.4406913039
"54",18.7993851154
"55",18.7992757891
"56",20.5479061387
"57",19.3053981962
"58",23.1728350252
"59",20.6177316295
"60",21.9780422323
"61",19.6506200383
"62",21.0360311249
"63",22.0515156238
"64",19.7821087108
"65",17.4885706253
"66",19.0137201695
"67",25.1292901767
"68",25.5586086665
"69",26.8629708411
"70",28.1762939735
"71",24.7909407899
"72",26.4698989836
"73",27.7907582228
"74",28.3399063071
"75",26.3290400166
"76",25.0626595901
"77",25.3013894334
"78",24.4040439004
"79",23.7356169696
"80",23.9667020926
"81",22.2789616723
"82",22.1567882271
"83",22.1251042804
"84",20.7419125431
"85",21.2723575864
"86",21.2417054219
"87",20.3079559564
"88",19.0771207292
"89",19.9728905524
"90",18.5451093237
"91",17.1678375716
"92",16.3623216651
"93",14.6305955857
"94",14.4672463953
"95",13.7884649917
"96",12.2522537065
"97",12.0298733844
"98",10.5449360109
"99",10.7483933008
"100",10.3879979647
"101",9.8255527461
"102",9.6862533507
"103",10.3916645717
"104",10.2950482319
"105",10.2098356204
"106",9.6560240934
"107",9.3503545332
"108",10.0736286013
"109",10.1906722126
"110",10.8068960711
"111",10.3062920931
"112",10.1341779967
"113",9.6351885162
"114",10.0376407835
"115",9.5251576653
"116",9.645846836
"117",10.1327200093
"118",10.6093001487
"119",11.1907758841
"120",10.9988084896
"121",11.4895032283
"122",13.7403686597
"123",12.7311920302
"124",13.5007047732
"125",14.5290979073
"126",18.7641533838
"127",16.0212761486
"128",15.4962357986
"129",17.2005366307
"130",19.5924655447
"131",18.0792024046
"132",16.3396095273
"133",17.6653301405
"134",18.7523477507
"135",17.6765767649
"136",16.7222853365
"137",18.9420880293
"138",19.4532413353
"139",19.7794058606
"140",19.6132387339
"141",21.7066670262
"142",19.9632208088
"143",20.3447631813
"144",20.194705318
"145",21.5130060178
"146",21.0637432102
"147",24.8257640238
"148",23.0701102814
"149",20.7298460392
"150",19.5580397334
"151",22.5468247728
"152",19.6553308076
"153",21.4660761569
"154",18.7272470208
"155",18.8955393169
"156",16.5253908079
"157",18.1774673636
"158",19.900183577
"159",21.1927618245
"160",20.519545538
"161",21.3327287735
"162",20.9725860857
"163",22.8717570733
"164",22.6120022943
"165",25.5663244576
"166",23.9194934718
"167",27.6058915529
"168",26.8615285059
"169",29.3675676134
"170",26.7392242962
"171",24.9730595346
"172",27.071565625
"173",30.2073474648
"174",31.9998204416
"175",25.8840623683
"176",26.2612943485
"177",24.6187284873
"178",23.6106540837
"179",23.0597415889
"180",23.2083428382
"181",22.6697383707
"182",21.1882411728
"183",20.2931842787
"184",19.0973001698
"185",17.6259331092
"186",15.9423725217
"187",16.0402481333
"188",16.1919374594
"189",14.518561024
"190",15.05808064
"191",13.8064062958
"192",13.6007048441
"193",12.9365737168
"194",11.8819272171
"195",11.6186617525
"196",10.6543598998
"197",10.1545903908
"198",10.6290868849
"199",10.5193012759
"200",10.3691149804
"201",9.8425048534
"202",9.4490793853
"203",9.7916664681
"204",9.4906426754
"205",9.5860857429
"206",9.2522300743
"207",9.2465042462
"208",9.1095885982
"209",9.9011399601
"210",9.4776303954
"211",9.1761474517
"212",9.240927472
"213",10.0120763848
"214",9.9894491076
"215",10.945035412
"216",10.8838516202
"217",11.6450793832
"218",11.254714355
"219",14.6892553138
"220",12.58392358
"221",12.339910162
"222",13.0928127147
"223",15.1284398132
"224",14.4851442832
"225",17.6078191504
"226",17.1235705953
"227",17.3695514385
"228",19.4730328008
"229",24.6098524757
"230",22.8263920027
"231",18.456351573
"232",17.6302215197
"233",17.3368568626
"234",18.5585632891
"235",19.4140768991
"236",18.5456743404
"237",20.8459885759
"238",21.1882062291
"239",20.4084507858
"240",19.1538901373
"241",18.4244607895
"242",20.959838848
"243",18.4926957328
"244",19.7451128518
"245",20.4156182656
"246",18.9534105127
"247",18.6414461603
"248",17.4717571192
"249",18.9633992477
"250",18.3959137899
"251",17.7054302386
"252",17.3422061295
"253",18.7779243146
"254",19.5315249598
"255",18.7466617843
"256",20.0150293631
"257",21.3954858079
"258",24.6169234906
"259",23.7150584126
"260",22.8513623122
"261",25.4972890002
"262",24.2799564898
"263",25.1846844795
"264",26.7524319065
"265",26.1260473764
"266",25.3091688725
"267",26.656309994
"268",27.9844212253
"269",28.9991695082
"270",27.5043505518
"271",24.7673222921
"272",22.585607099
"273",22.7642030452
"274",21.9950182995
"275",20.5558353902
"276",19.4532607059
"277",18.6755296091
"278",19.9282217895
"279",18.5987100727
"280",18.0690438035
"281",17.4925351437
"282",16.1754937074
"283",16.3535060585
"284",16.4860103774
"285",15.4176619561
"286",13.5648919719
"287",13.4296551512
"288",12.58428792
"289",11.468066881
"290",10.446007446
"291",10.6042832137
"292",10.356881957
"293",10.2003656104
"294",9.8491312209
"295",9.7477689636
"296",10.4072706237
"297",9.9816810201
"298",9.2713611044
"299",9.4903141984
"300",9.3031694934
"301",9.2216934685
"302",8.961673321
"303",8.8926944226
"304",9.6415629412
"305",9.8608853311
"306",9.1925631202
"307",9.1630497526
"308",9.1165246564
"309",9.4655519596
"310",9.6071966734
"311",10.949014943
"312",10.3813884918
"313",11.462153153
"314",12.1600213968
"315",13.4631518158
"316",12.3609094476
"317",13.0781121617
"318",14.4730921542
"319",15.0949770685
"320",15.1721515722
"321",17.2264003707
"322",16.5428783185
"323",17.1658022235
"324",17.6723416803
"325",19.4617292557
"326",18.1738361529
"327",16.3873220559
"328",18.3712599891
"329",21.6854173467
"330",18.5785562687
"331",20.7766256058
"332",16.829550064
